,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
12,SVC,0.6535921625544268,0.6673506807657752,0.6938679245283019,0.015369071853136757,1,0.01,rbf
17,SVC,0.6467032967032967,0.6634988596309351,0.6953193033381712,0.017115071387711612,2,0.01,rbf
38,SVC,0.6489010989010988,0.662545096413021,0.6923439767779391,0.017221617259136745,10,0.001,rbf
33,SVC,0.6447387518142235,0.6616109613656783,0.6826197387518143,0.015250670567320898,5,0.001,rbf
28,SVC,0.6450290275761975,0.6608984034833092,0.679789550072569,0.014415024926957041,4,0.001,rbf
22,SVC,0.639084249084249,0.6608284608473287,0.6885703918722785,0.016756238520838605,3,0.01,rbf
23,SVC,0.6414731494920175,0.6598383440458913,0.6800072568940494,0.015617235028956608,3,0.001,rbf
18,SVC,0.641400580551524,0.6597219572879951,0.6798621190130625,0.0155894118324971,2,0.001,rbf
13,SVC,0.641400580551524,0.6596495265740548,0.6795718432510885,0.015503083751619535,1,0.001,rbf
29,SVC,0.641255442670537,0.6593589743589743,0.6792815674891146,0.015473569709857428,4,0.0001,rbf
39,SVC,0.6412554426705369,0.659329532103117,0.6793541364296081,0.015378341521925194,10,0.0001,rbf
19,SVC,0.64111030478955,0.6593293938765636,0.6792089985486212,0.015540736397509526,2,0.0001,rbf
34,SVC,0.641255442670537,0.6593154329946782,0.679499274310595,0.01548955735879837,5,0.0001,rbf
24,SVC,0.6410377358490565,0.6592861289653742,0.6794267053701015,0.015678254745539737,3,0.0001,rbf
14,SVC,0.6416908563134979,0.6591104430161033,0.6789187227866473,0.015369757719078586,1,0.0001,rbf
27,SVC,0.6322710622710622,0.6568098002626306,0.6846516690856314,0.017372001952301073,4,0.01,rbf
32,SVC,0.6309523809523808,0.6551382265533209,0.6814586357039187,0.016321138015394532,5,0.01,rbf
37,SVC,0.6283150183150183,0.6513306379155436,0.6800072568940493,0.018790941920148647,10,0.01,rbf
0,SVC,0.5793772893772893,0.6218623954661691,0.6567851959361394,0.029404521856116177,1,,linear
11,SVC,0.5642960812772134,0.6218144308521667,0.6528664731494922,0.030878228979197363,1,0.5,rbf
1,SVC,0.5663369963369963,0.6203864123298086,0.6728229317851959,0.036279466430510464,2,,linear
2,SVC,0.5647252747252748,0.6189755339000623,0.6662191582002903,0.034986925198878936,3,,linear
3,SVC,0.5604761904761906,0.6169210726380537,0.6645500725689406,0.0357901981899694,4,,linear
10,SVC,0.5634252539912917,0.6167890662796324,0.6539550072568941,0.029937299973514787,1,1,rbf
16,SVC,0.5613207547169812,0.6158524431543299,0.6519956458635704,0.030193662544735763,2,0.5,rbf
21,SVC,0.5607402031930333,0.6157201603428019,0.6519956458635704,0.030440297765237295,3,0.5,rbf
26,SVC,0.5607402031930333,0.6157201603428019,0.6519956458635704,0.030440297765237295,4,0.5,rbf
36,SVC,0.5607402031930333,0.6157201603428019,0.6519956458635704,0.030440297765237295,10,0.5,rbf
31,SVC,0.5607402031930333,0.6157201603428019,0.6519956458635704,0.030440297765237295,5,0.5,rbf
4,SVC,0.556959706959707,0.6147228557605915,0.6633164005805515,0.0369592881155235,5,,linear
5,SVC,0.5575457875457875,0.6134467482203332,0.6606313497822931,0.037199360509837555,6,,linear
6,SVC,0.5543223443223443,0.6118441495611306,0.6588896952104499,0.03823556393581423,7,,linear
35,SVC,0.5586357039187227,0.6117100698044095,0.6480043541364296,0.0292092629220409,10,1,rbf
20,SVC,0.5586357039187227,0.6117100698044095,0.6480043541364296,0.0292092629220409,3,1,rbf
30,SVC,0.5586357039187227,0.6117100698044095,0.6480043541364296,0.0292092629220409,5,1,rbf
25,SVC,0.5586357039187227,0.6117100698044095,0.6480043541364296,0.0292092629220409,4,1,rbf
15,SVC,0.5586357039187227,0.6117100698044095,0.6480043541364296,0.0292092629220409,2,1,rbf
7,SVC,0.5549084249084248,0.6112647038496096,0.6567126269956459,0.03719380570524308,8,,linear
8,SVC,0.5558608058608059,0.6105117838136707,0.6557692307692309,0.03694338250122079,9,,linear
9,SVC,0.554981684981685,0.6102488769092542,0.6568577648766328,0.0373422440883747,10,,linear
