,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
37,SVC,0.7025641025641026,0.7185233790166816,0.7392697681117673,0.014865365001262999,10,0.01,rbf
27,SVC,0.6950915750915752,0.7144939462573051,0.7306279706178886,0.012697501007675466,4,0.01,rbf
32,SVC,0.6992673992673992,0.7142351481635651,0.7296197609102694,0.010615581534160921,5,0.01,rbf
22,SVC,0.6896703296703297,0.7128457644904426,0.7303399107014259,0.014436021781606023,3,0.01,rbf
17,SVC,0.6758974358974359,0.7070833970388917,0.7230303903211868,0.018438011014456492,2,0.01,rbf
12,SVC,0.6766300366300367,0.6995437030682601,0.7218061356762205,0.015937107543637315,1,0.01,rbf
0,SVC,0.6722598300446493,0.6982786737003934,0.7147126602333286,0.016586388757935278,1,,linear
38,SVC,0.6731868131868132,0.6964169635635861,0.7159009073887369,0.015552997757423543,10,0.001,rbf
1,SVC,0.67125162033703,0.6923779530757782,0.7093115367996543,0.017112236053622873,2,,linear
2,SVC,0.666959706959707,0.6864903027741859,0.7057828028229871,0.015765698341413004,3,,linear
3,SVC,0.6676508713812473,0.6851369392525953,0.7106078064237361,0.01611046196165721,4,,linear
33,SVC,0.6642490842490844,0.6844194664138493,0.703730375918191,0.01643328679632051,5,0.001,rbf
4,SVC,0.6664986317153968,0.6831868780794317,0.7111839262566613,0.015702865260169212,5,,linear
28,SVC,0.6598372461471986,0.6823148574024276,0.7020020164194153,0.017329351556100794,4,0.001,rbf
7,SVC,0.6680109462768256,0.6808290359119973,0.7070070574679533,0.013605486749697127,8,,linear
6,SVC,0.6671467665274377,0.6807577152311417,0.7075111623217629,0.014107932361606106,7,,linear
8,SVC,0.6712516203370302,0.6806650643993292,0.7073671323635317,0.013478508482968702,9,,linear
5,SVC,0.6642661673628115,0.6805760823745844,0.7097436266743482,0.015677986128634688,6,,linear
9,SVC,0.66793893129771,0.6796037250473372,0.7075111623217629,0.014401561904415671,10,,linear
23,SVC,0.6493230591963127,0.6793942337368809,0.7021460463776465,0.019543873270782785,3,0.001,rbf
13,SVC,0.646370445052571,0.6786758545118043,0.7020740313985309,0.02022843530973705,1,0.001,rbf
19,SVC,0.6462264150943396,0.6786486534254069,0.7020740313985309,0.020163824743742266,2,0.0001,rbf
18,SVC,0.6462984300734552,0.6786463014636716,0.7020020164194153,0.020291165991705076,2,0.001,rbf
14,SVC,0.6457943252196457,0.678458979159973,0.702074031398531,0.020392523441475033,1,0.0001,rbf
24,SVC,0.646370445052571,0.6783435336088368,0.7014258965864899,0.020000015064166873,3,0.0001,rbf
34,SVC,0.6457943252196457,0.6782869736245798,0.7011378366700274,0.0201473650433841,5,0.0001,rbf
29,SVC,0.6458663401987613,0.6781853222393334,0.701209851649143,0.020102186013401732,4,0.0001,rbf
39,SVC,0.6458663401987613,0.6781698672444747,0.701209851649143,0.02013461818846661,10,0.0001,rbf
11,SVC,0.6141391941391942,0.6391707519999326,0.6774449085409765,0.022733776310566153,1,0.5,rbf
26,SVC,0.6138916894714102,0.6361873323277617,0.6791012530606367,0.025671685765419793,4,0.5,rbf
31,SVC,0.6138916894714102,0.6361873323277617,0.6791012530606367,0.025671685765419793,5,0.5,rbf
21,SVC,0.6138916894714102,0.6361873323277617,0.6791012530606367,0.025671685765419793,3,0.5,rbf
36,SVC,0.6138916894714102,0.6361873323277617,0.6791012530606367,0.025671685765419793,10,0.5,rbf
16,SVC,0.6141391941391943,0.6357385180952804,0.6788852081232897,0.025092676773240213,2,0.5,rbf
10,SVC,0.616799709724238,0.6333969645026826,0.6638340774881176,0.019881108957876457,1,1,rbf
25,SVC,0.6121633299726342,0.6325922496055003,0.666066541840703,0.021368372175219655,4,1,rbf
30,SVC,0.6121633299726342,0.6325922496055003,0.666066541840703,0.021368372175219655,5,1,rbf
15,SVC,0.6121633299726342,0.6325922496055003,0.666066541840703,0.021368372175219655,2,1,rbf
35,SVC,0.6121633299726342,0.6325922496055003,0.666066541840703,0.021368372175219655,10,1,rbf
20,SVC,0.6121633299726342,0.6325922496055003,0.666066541840703,0.021368372175219655,3,1,rbf
