,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
17,SVC,0.6918359941944847,0.7186363259382127,0.7437590711175617,0.01702623562106463,2,0.01,rbf
22,SVC,0.6918359941944847,0.718063515101251,0.7399854862119013,0.01653899006542023,3,0.01,rbf
27,SVC,0.6932148040638607,0.7160013131522566,0.7333091436865022,0.014452380982746498,4,0.01,rbf
32,SVC,0.6956095791001452,0.7147652913124611,0.7306240928882438,0.013777729792674064,5,0.01,rbf
12,SVC,0.6969158200290276,0.7140003455663833,0.731277213352685,0.011754506916204539,1,0.01,rbf
38,SVC,0.6859579100145138,0.7121094063169535,0.736066763425254,0.017205403930719353,10,0.001,rbf
33,SVC,0.6858853410740203,0.7050938558297049,0.7269956458635704,0.01346272888726665,5,0.001,rbf
28,SVC,0.6844339622641511,0.7028605294076994,0.7237300435413644,0.012541285543658355,4,0.001,rbf
37,SVC,0.6790275761973876,0.7011244038979888,0.7288824383164005,0.019431953041094973,10,0.01,rbf
23,SVC,0.681966618287373,0.6989845186260281,0.722133526850508,0.013777481750882963,3,0.001,rbf
18,SVC,0.6758345428156749,0.6924292625613381,0.7178519593613935,0.017073474621084397,2,0.001,rbf
13,SVC,0.6695210449927431,0.69048095929228,0.7170537010159652,0.018757642584490024,1,0.001,rbf
39,SVC,0.6691582002902757,0.6903782569631627,0.7171988388969521,0.018816025402097807,10,0.0001,rbf
24,SVC,0.6690130624092888,0.6903644343078306,0.7170537010159651,0.01881962866989053,3,0.0001,rbf
19,SVC,0.6690130624092889,0.6903062409288824,0.7173439767779392,0.018937699719999968,2,0.0001,rbf
14,SVC,0.6690856313497823,0.6902628377911396,0.7172714078374456,0.018814935562778957,1,0.0001,rbf
34,SVC,0.6688679245283018,0.6902621466583732,0.7171988388969522,0.018876265699575595,5,0.0001,rbf
29,SVC,0.6690856313497824,0.6902333955352823,0.7171262699564586,0.0187848446957117,4,0.0001,rbf
0,SVC,0.6124092888243831,0.6627358490566038,0.6969521044992745,0.030944624972540215,1,,linear
1,SVC,0.5899129172714077,0.6465250535627894,0.6793178519593615,0.034498988913686614,2,,linear
11,SVC,0.6095065312046444,0.6423175755062547,0.6773584905660376,0.021879165736695703,1,0.5,rbf
16,SVC,0.6060957910014514,0.640980233602875,0.6759071117561684,0.022862014299079674,2,0.5,rbf
21,SVC,0.6060957910014514,0.640980233602875,0.6759071117561684,0.022862014299079674,3,0.5,rbf
36,SVC,0.6060957910014514,0.640980233602875,0.6759071117561684,0.022862014299079674,10,0.5,rbf
26,SVC,0.6060957910014514,0.640980233602875,0.6759071117561684,0.022862014299079674,4,0.5,rbf
31,SVC,0.6060957910014514,0.640980233602875,0.6759071117561684,0.022862014299079674,5,0.5,rbf
2,SVC,0.5841074020319303,0.6377996406109613,0.6717706821480406,0.0333143794296398,3,,linear
3,SVC,0.5756168359941944,0.6327239615730182,0.6724963715529753,0.03609338787345673,4,,linear
8,SVC,0.5800435413642963,0.6306319026885066,0.6732946298984036,0.03570216055038631,9,,linear
7,SVC,0.5795355587808418,0.6305731564033451,0.6716255442670538,0.03636075767866685,8,,linear
9,SVC,0.5795355587808418,0.6299306793835097,0.6728592162554426,0.03535167647962996,10,,linear
10,SVC,0.6015239477503629,0.6297352961503905,0.6675979680696662,0.021859306851858523,1,1,rbf
6,SVC,0.5751814223512337,0.6296825627202987,0.6684325108853411,0.037869206242348345,7,,linear
5,SVC,0.5695210449927431,0.6287666735779944,0.6669085631349783,0.03861443314503703,6,,linear
35,SVC,0.6007982583454281,0.6286891284815812,0.6670899854862119,0.021895502487302806,10,1,rbf
30,SVC,0.6006531204644413,0.6286601009053838,0.6670899854862119,0.02193252398353593,5,1,rbf
25,SVC,0.6006531204644413,0.6286601009053838,0.6670899854862119,0.02193252398353593,4,1,rbf
15,SVC,0.6006531204644413,0.6286601009053838,0.6670899854862119,0.02193252398353593,2,1,rbf
20,SVC,0.6006531204644413,0.6286601009053838,0.6670899854862119,0.02193252398353593,3,1,rbf
4,SVC,0.5722060957910015,0.6282430713940148,0.6678519593613934,0.036122404034837206,5,,linear
