,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
155,RandomForestClassifier,0.7023339907955293,0.7610078857206728,0.8322649572649573,0.03366258465429373,,,,entropy,,,,8,sqrt,,500,,,,
95,RandomForestClassifier,0.7049638395792243,0.7609514209289434,0.8345660749506904,0.034112253805751655,,,,gini,,,,8,sqrt,,500,,,,
159,RandomForestClassifier,0.7043063773833005,0.7599449820353916,0.8314431295200526,0.033782085291506246,,,,entropy,,,,8,log2,,500,,,,
139,RandomForestClassifier,0.7094017094017093,0.7598263222513972,0.8289776462853385,0.03146128238160547,,,,entropy,,,,7,auto,,500,,,,
157,RandomForestClassifier,0.6974030243261014,0.7597659707924443,0.8299638395792241,0.03429047082430485,,,,entropy,,,,8,log2,,100,,,,
81,RandomForestClassifier,0.7039776462853387,0.7597230261690802,0.840154503616042,0.03468869676063027,,,,gini,,,,7,sqrt,,100,,,,
83,RandomForestClassifier,0.7133464825772519,0.7596694639027306,0.8334155161078238,0.03305586013119567,,,,gini,,,,7,sqrt,,500,,,,
146,RandomForestClassifier,0.7094017094017094,0.7595145849266729,0.8297994740302432,0.03249001926377096,,,,entropy,,,,7,log2,,200,,,,
148,RandomForestClassifier,0.6916502301117685,0.759411080927065,0.8228961209730441,0.03481412592191731,,,,entropy,,,,8,auto,,50,,,,
142,RandomForestClassifier,0.7021696252465484,0.7594025091902215,0.8335798816568046,0.03297274522041933,,,,entropy,,,,7,sqrt,,200,,,,
151,RandomForestClassifier,0.7005259697567391,0.7591471035901606,0.8276627218934911,0.03365221304892821,,,,entropy,,,,8,auto,,500,,,,
79,RandomForestClassifier,0.7028270874424721,0.7585634298546385,0.8268408941485865,0.03278602195554172,,,,gini,,,,7,auto,,500,,,,
143,RandomForestClassifier,0.7059500328731099,0.7585211256165303,0.8283201840894149,0.033331712714343355,,,,entropy,,,,7,sqrt,,500,,,,
71,RandomForestClassifier,0.7143326758711375,0.7583594823979439,0.8289776462853387,0.032288543474970594,,,,gini,,,,6,sqrt,,500,,,,
125,RandomForestClassifier,0.6997041420118343,0.7583395057046406,0.8335798816568047,0.035595863300427986,,,,entropy,,,,6,auto,,100,,,,
