,estimator,min_score,mean_score,max_score,std_score,alpha,criterion,hidden_layer_sizes,max_depth,max_features,max_iter,n_estimators,random_state,solver
34,RandomForestClassifier,0.6575443786982249,0.762567607772403,0.8136916502301118,0.04256707394287937,,gini,,7,log2,,200,,
76,RandomForestClassifier,0.6573800131492439,0.7623924388409903,0.8112261669953977,0.041303845478464635,,entropy,,7,sqrt,,200,,
75,RandomForestClassifier,0.6611604207758054,0.7622721323520525,0.8191157133464826,0.04294784824831254,,entropy,,7,sqrt,,100,,
85,RandomForestClassifier,0.6591880341880342,0.7618187922633476,0.8099112426035503,0.04117417790123003,,entropy,,8,sqrt,,200,,
83,RandomForestClassifier,0.6583662064431295,0.7617220746841127,0.8074457593688362,0.0407728721344068,,entropy,,8,auto,,500,,
78,RandomForestClassifier,0.6545857988165681,0.7610062431740753,0.8077744904667982,0.04355027816863036,,entropy,,7,log2,,100,,
86,RandomForestClassifier,0.6517915844838922,0.7606469454621303,0.8130341880341879,0.04262516779039977,,entropy,,8,sqrt,,500,,
33,RandomForestClassifier,0.6396285338593032,0.7604873342885331,0.8084319526627219,0.045554624878356015,,gini,,7,log2,,100,,
84,RandomForestClassifier,0.664447731755424,0.7604847561141268,0.8072813938198553,0.04035546487131655,,entropy,,8,sqrt,,100,,
74,RandomForestClassifier,0.6532708744247206,0.7602114446769791,0.8094181459566075,0.04154468405027486,,entropy,,7,auto,,500,,
89,RandomForestClassifier,0.6550788954635108,0.7601266781836212,0.8057007927137797,0.041594850162528375,,entropy,,8,log2,,500,,
44,RandomForestClassifier,0.657380013149244,0.760062878069871,0.8113905325443788,0.042043203410968996,,gini,,8,log2,,500,,
29,RandomForestClassifier,0.6491617357001973,0.7596161996511648,0.80810322156476,0.043656515381088265,,gini,,7,auto,,500,,
79,RandomForestClassifier,0.6567225509533202,0.7595973762057678,0.8189513477975017,0.04077349821032734,,entropy,,7,log2,,200,,
38,RandomForestClassifier,0.647189349112426,0.7595118861602378,0.8070500927643784,0.04289631248235349,,gini,,8,auto,,500,,
77,RandomForestClassifier,0.652120315581854,0.7594535002127409,0.8145134779750165,0.042255454120248996,,entropy,,7,sqrt,,500,,
70,RandomForestClassifier,0.6586949375410913,0.7590805853043616,0.8051446416831032,0.039035232148296975,,entropy,,6,log2,,200,,
72,RandomForestClassifier,0.6443951347797502,0.7587653466524595,0.805637738330046,0.04263003859502717,,entropy,,7,auto,,100,,
36,RandomForestClassifier,0.6462031558185405,0.7586519125230414,0.8146399055489963,0.042716793069098806,,gini,,8,auto,,100,,
