,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
11,SVC,0.551948051948052,0.6438299335073528,0.6753246753246753,0.03742490080994497,1,0.5,rbf
10,SVC,0.551948051948052,0.6431680684906491,0.6948051948051948,0.042867700084974016,1,1,rbf
30,SVC,0.525974025974026,0.642481067319777,0.7077922077922078,0.05270890876726577,5,1,rbf
15,SVC,0.525974025974026,0.642481067319777,0.7077922077922078,0.05270890876726577,2,1,rbf
35,SVC,0.525974025974026,0.642481067319777,0.7077922077922078,0.05270890876726577,10,1,rbf
25,SVC,0.525974025974026,0.642481067319777,0.7077922077922078,0.05270890876726577,4,1,rbf
20,SVC,0.525974025974026,0.642481067319777,0.7077922077922078,0.05270890876726577,3,1,rbf
21,SVC,0.525974025974026,0.6392634784570268,0.6838709677419355,0.048202845420030956,3,0.5,rbf
36,SVC,0.5194805194805194,0.6386141278076762,0.6838709677419355,0.04974372696178425,10,0.5,rbf
31,SVC,0.5194805194805194,0.6386141278076762,0.6838709677419355,0.04974372696178425,5,0.5,rbf
26,SVC,0.5194805194805194,0.6386141278076762,0.6838709677419355,0.04974372696178425,4,0.5,rbf
16,SVC,0.5194805194805194,0.6373154265089749,0.6838709677419355,0.05003895038124002,2,0.5,rbf
37,SVC,0.5612903225806452,0.5971980170367266,0.6623376623376623,0.030397056528916177,10,0.01,rbf
1,SVC,0.551948051948052,0.5958950726692663,0.6363636363636364,0.022261926846873597,2,,linear
2,SVC,0.5584415584415584,0.5952623720365656,0.6493506493506493,0.02818057034922526,3,,linear
32,SVC,0.5483870967741935,0.5939763462344108,0.6493506493506493,0.03153970937225899,5,0.01,rbf
3,SVC,0.5584415584415584,0.5933102381489478,0.6493506493506493,0.028859574912584268,4,,linear
9,SVC,0.5584415584415584,0.5926566444308381,0.6428571428571429,0.02463983184123334,10,,linear
5,SVC,0.5584415584415584,0.592644183773216,0.6428571428571429,0.02347059107791005,6,,linear
27,SVC,0.5548387096774193,0.5920408086537119,0.6428571428571429,0.026791037927611436,4,0.01,rbf
8,SVC,0.5584415584415584,0.5920072937814873,0.6428571428571429,0.024071835582685414,9,,linear
4,SVC,0.5584415584415584,0.5913704574994898,0.6363636363636364,0.024808488167507557,5,,linear
0,SVC,0.551948051948052,0.5907253499188985,0.6558441558441559,0.028167289623185064,1,,linear
7,SVC,0.5576923076923077,0.590725242499436,0.6428571428571429,0.02548254700280853,8,,linear
6,SVC,0.5576923076923077,0.5894307305597628,0.6428571428571429,0.025700320320409954,7,,linear
18,SVC,0.5576923076923077,0.5887646224742998,0.6233766233766234,0.021171623036928988,2,0.001,rbf
22,SVC,0.525974025974026,0.5881570579957678,0.6363636363636364,0.03192372573500213,3,0.01,rbf
17,SVC,0.525974025974026,0.5855596553983651,0.6363636363636364,0.032514947799367006,2,0.01,rbf
33,SVC,0.551948051948052,0.5835530598433823,0.6129032258064516,0.022659134758572768,5,0.001,rbf
12,SVC,0.5584415584415584,0.5816176296821458,0.6168831168831169,0.020439351546710696,1,0.01,rbf
28,SVC,0.538961038961039,0.5816091435446273,0.6193548387096774,0.029320148820051767,4,0.001,rbf
38,SVC,0.538961038961039,0.5803231177424725,0.6298701298701299,0.02499189439850142,10,0.001,rbf
23,SVC,0.538961038961039,0.5783874727423115,0.6064516129032258,0.02369495429456502,3,0.001,rbf
34,SVC,0.5,0.5006451612903225,0.5032258064516129,0.0012903225806451424,5,0.0001,rbf
14,SVC,0.5,0.5006451612903225,0.5032258064516129,0.0012903225806451424,1,0.0001,rbf
13,SVC,0.5,0.5006451612903225,0.5032258064516129,0.0012903225806451424,1,0.001,rbf
24,SVC,0.5,0.5006451612903225,0.5032258064516129,0.0012903225806451424,3,0.0001,rbf
29,SVC,0.5,0.5006451612903225,0.5032258064516129,0.0012903225806451424,4,0.0001,rbf
19,SVC,0.5,0.5006451612903225,0.5032258064516129,0.0012903225806451424,2,0.0001,rbf
39,SVC,0.5,0.5006451612903225,0.5032258064516129,0.0012903225806451424,10,0.0001,rbf
