,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
37,SVC,0.6598639455782312,0.6998867858407647,0.7364864864864865,0.027696368124538087,10,0.01,rbf
32,SVC,0.6577181208053692,0.695156809322677,0.7567567567567568,0.02923120331131512,5,0.01,rbf
27,SVC,0.6510067114093959,0.692449448489717,0.75,0.02709502112326321,4,0.01,rbf
22,SVC,0.6442953020134228,0.6911164211739476,0.7432432432432432,0.033689901375957274,3,0.01,rbf
17,SVC,0.6174496644295302,0.6890983402248982,0.7364864864864865,0.03194335083675943,2,0.01,rbf
4,SVC,0.6283783783783784,0.6816158406043353,0.7414965986394558,0.02823369124130379,5,,linear
5,SVC,0.6283783783783784,0.6795979447465545,0.7414965986394558,0.028397763111033147,6,,linear
0,SVC,0.6283783783783784,0.679547507375887,0.7432432432432432,0.02968640886800493,1,,linear
6,SVC,0.6216216216216216,0.6789176109406215,0.7414965986394558,0.031644723047401783,7,,linear
1,SVC,0.6283783783783784,0.6789038833382074,0.7162162162162162,0.024778460109170154,2,,linear
3,SVC,0.6283783783783784,0.6788947521689612,0.7346938775510204,0.02722623930626435,4,,linear
2,SVC,0.6283783783783784,0.6782236112293638,0.7278911564625851,0.02662385234662123,3,,linear
7,SVC,0.6216216216216216,0.6775524702897666,0.7346938775510204,0.029811755710288598,8,,linear
8,SVC,0.6283783783783784,0.6775478738565988,0.7346938775510204,0.02860990681747422,9,,linear
12,SVC,0.6148648648648649,0.6769269851964003,0.7278911564625851,0.035605852436385074,1,0.01,rbf
9,SVC,0.6283783783783784,0.6755162503964038,0.7346938775510204,0.029436930755521257,10,,linear
38,SVC,0.5945945945945946,0.671503132361234,0.7142857142857143,0.03763507711946727,10,0.001,rbf
33,SVC,0.5743243243243243,0.6532047319199764,0.6938775510204082,0.03309137444276854,5,0.001,rbf
16,SVC,0.5850340136054422,0.6517251740166409,0.7094594594594594,0.03820395485809737,2,0.5,rbf
26,SVC,0.5850340136054422,0.6510449019077973,0.7094594594594594,0.038113435157316605,4,0.5,rbf
31,SVC,0.5850340136054422,0.6510449019077973,0.7094594594594594,0.038113435157316605,5,0.5,rbf
36,SVC,0.5850340136054422,0.6510449019077973,0.7094594594594594,0.038113435157316605,10,0.5,rbf
21,SVC,0.5850340136054422,0.6510449019077973,0.7094594594594594,0.038113435157316605,3,0.5,rbf
11,SVC,0.5945945945945946,0.6449592243935485,0.7006802721088435,0.0341773987944131,1,0.5,rbf
28,SVC,0.5608108108108109,0.6362529630027234,0.6870748299319728,0.03380238425125707,4,0.001,rbf
10,SVC,0.5850340136054422,0.6293588685247363,0.6824324324324325,0.029596951229709983,1,1,rbf
35,SVC,0.5782312925170068,0.6266469729556978,0.6824324324324325,0.03133502293536159,10,1,rbf
30,SVC,0.5782312925170068,0.6266469729556978,0.6824324324324325,0.03133502293536159,5,1,rbf
20,SVC,0.5782312925170068,0.6266469729556978,0.6824324324324325,0.03133502293536159,3,1,rbf
25,SVC,0.5782312925170068,0.6266469729556978,0.6824324324324325,0.03133502293536159,4,1,rbf
15,SVC,0.5782312925170068,0.6266469729556978,0.6824324324324325,0.03133502293536159,2,1,rbf
23,SVC,0.5540540540540541,0.615968594947502,0.6802721088435374,0.038072970099854116,3,0.001,rbf
18,SVC,0.5503355704697986,0.598313571755566,0.6462585034013606,0.027743587529522797,2,0.001,rbf
39,SVC,0.5405405405405406,0.5589772967050053,0.5850340136054422,0.014150961663709683,10,0.0001,rbf
13,SVC,0.5337837837837838,0.5583016210293297,0.5850340136054422,0.015141766407307439,1,0.001,rbf
29,SVC,0.5033557046979866,0.5047389534446103,0.5067567567567568,0.0016475822212253036,4,0.0001,rbf
24,SVC,0.5033557046979866,0.5047389534446103,0.5067567567567568,0.0016475822212253036,3,0.0001,rbf
19,SVC,0.5033557046979866,0.5047389534446103,0.5067567567567568,0.0016475822212253036,2,0.0001,rbf
34,SVC,0.5033557046979866,0.5047389534446103,0.5067567567567568,0.0016475822212253036,5,0.0001,rbf
14,SVC,0.5033557046979866,0.5047389534446103,0.5067567567567568,0.0016475822212253036,1,0.0001,rbf
