,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
202,knn,0.7425419132149902,0.7572736741122037,0.7703813280736358,0.01092419889063708,,brute,,,,,,,,,,5,,,uniform
166,knn,0.7449868507560815,0.7570047703637114,0.771675338189386,0.0109575548518261,,auto,,,,,,,,,,5,,,uniform
190,knn,0.7449868507560815,0.7570047703637114,0.771675338189386,0.0109575548518261,,kd_tree,,,,,,,,,,5,,,uniform
178,knn,0.7414529914529915,0.756391971811907,0.7705098855359002,0.012007669810517272,,ball_tree,,,,,,,,,,5,,,uniform
170,knn,0.7321047008547008,0.7550023697031021,0.768990634755463,0.013580654175714085,,auto,,,,,,,,,,7,,,uniform
194,knn,0.7321047008547008,0.7550023697031021,0.768990634755463,0.013580654175714085,,kd_tree,,,,,,,,,,7,,,uniform
204,knn,0.7380013149243919,0.7545461976655645,0.7658480749219563,0.009791395546778263,,brute,,,,,,,,,,6,,,uniform
192,knn,0.738740959894806,0.754304529681921,0.7651612903225806,0.010030065340375892,,kd_tree,,,,,,,,,,6,,,uniform
168,knn,0.738740959894806,0.754304529681921,0.7651612903225806,0.010030065340375892,,auto,,,,,,,,,,6,,,uniform
13,SVC,0.7287557527942142,0.7539516132452977,0.7685119667013527,0.01344084720850922,1,,,,0.001,,rbf,,,,,,,,
182,knn,0.7300090401051939,0.7534182466967827,0.7682856673241288,0.014125816237239613,,ball_tree,,,,,,,,,,7,,,uniform
206,knn,0.7334607166337935,0.7533930395893494,0.769531737773153,0.013020215246518113,,brute,,,,,,,,,,7,,,uniform
180,knn,0.733542899408284,0.7532588487159646,0.7638501560874089,0.012184001540788745,,ball_tree,,,,,,,,,,6,,,uniform
208,knn,0.7371794871794871,0.7502140350733162,0.7622452333990796,0.009681393212443603,,brute,,,,,,,,,,8,,,uniform
172,knn,0.73767258382643,0.7501565232085524,0.763395792241946,0.01011093921953623,,auto,,,,,,,,,,8,,,uniform
196,knn,0.73767258382643,0.7501565232085524,0.763395792241946,0.01011093921953623,,kd_tree,,,,,,,,,,8,,,uniform
184,knn,0.7369123931623932,0.7497286311103448,0.764258711374096,0.009511869789017868,,ball_tree,,,,,,,,,,8,,,uniform
18,SVC,0.725879355687048,0.7462265422482744,0.7614360041623309,0.011852378705082055,2,,,,0.001,,rbf,,,,,,,,
39,SVC,0.7340777502067825,0.7444990729851452,0.7599791883454735,0.010916165734876459,10,,,,0.0001,,rbf,,,,,,,,
159,RandomForestClassifier,0.7336045364891518,0.744138112214635,0.7545611439842208,0.008920897699307173,,,,entropy,,,,8,log2,,500,,,,
90,RandomForestClassifier,0.7354536489151874,0.7434176636352254,0.7537773152965661,0.0064162903194981274,,,,gini,,,,8,auto,,200,,,,
174,knn,0.7312241521918941,0.7434030222736699,0.7614439513477975,0.011069326507343982,,auto,,,,,,,,,,9,,,uniform
198,knn,0.7312241521918941,0.7434030222736699,0.7614439513477975,0.011069326507343982,,kd_tree,,,,,,,,,,9,,,uniform
210,knn,0.7315550041356493,0.7433072207615752,0.7595948389217619,0.01077152023531404,,brute,,,,,,,,,,9,,,uniform
34,SVC,0.7300104058272632,0.7428492591748815,0.7613943808532778,0.01175352194381989,5,,,,0.0001,,rbf,,,,,,,,
186,knn,0.729859387923904,0.742707572821977,0.7577662721893491,0.009981418265283799,,ball_tree,,,,,,,,,,9,,,uniform
91,RandomForestClassifier,0.7305226824457595,0.742312922587076,0.756732570239334,0.008607191523322781,,,,gini,,,,8,auto,,500,,,,
98,RandomForestClassifier,0.7231673241288625,0.7411668291508201,0.7562869822485208,0.012910486738197835,,,,gini,,,,8,log2,,200,,,,
82,RandomForestClassifier,0.7295525494276794,0.7411071374328598,0.7548487836949376,0.009297641923268839,,,,gini,,,,7,sqrt,,200,,,,
296,ExtraTreesClassifier,0.7342619986850755,0.7410627879817826,0.7536571334648257,0.006772089326567255,,,,gini,,,,8,sqrt,,100,,,,
29,SVC,0.7286784599375651,0.7410010286102098,0.760353798126951,0.011417316763906008,4,,,,0.0001,,rbf,,,,,,,,
95,RandomForestClassifier,0.7300520291363164,0.7409988366134608,0.7517258382642997,0.008722153041978155,,,,gini,,,,8,sqrt,,500,,,,
67,RandomForestClassifier,0.7292899408284023,0.7409265790552111,0.7518626430801248,0.007664103156907879,,,,gini,,,,6,auto,,500,,,,
285,ExtraTreesClassifier,0.7282626561472715,0.7407637268323253,0.7580128205128205,0.009607805238159108,,,,gini,,,,7,log2,,500,,,,
154,RandomForestClassifier,0.7269719042663891,0.7398304009219522,0.7491155046826222,0.008203181405334584,,,,entropy,,,,8,sqrt,,200,,,,
129,RandomForestClassifier,0.7285913872452334,0.7397761153083333,0.7530072840790842,0.00909051058677521,,,,entropy,,,,6,sqrt,,100,,,,
23,SVC,0.7260848126232741,0.7397594297250905,0.7526118626430801,0.008702826170428793,3,,,,0.001,,rbf,,,,,,,,
142,RandomForestClassifier,0.7322485207100591,0.7396767697602965,0.747783558792924,0.005659115354857464,,,,entropy,,,,7,sqrt,,200,,,,
143,RandomForestClassifier,0.7218106139438086,0.7396487612550208,0.7523621227887617,0.010628668874739535,,,,entropy,,,,7,sqrt,,500,,,,
147,RandomForestClassifier,0.7184391259105098,0.7394428798075638,0.7556919875130073,0.01574480726448438,,,,entropy,,,,7,log2,,500,,,,
155,RandomForestClassifier,0.722726326742976,0.7393008392392046,0.7582310093652445,0.013301042291762412,,,,entropy,,,,8,sqrt,,500,,,,
144,RandomForestClassifier,0.7234960552268244,0.7392735049576482,0.7626972386587774,0.014245255688083009,,,,entropy,,,,7,log2,,50,,,,
146,RandomForestClassifier,0.7246055226824458,0.7390414806650698,0.7550542406311638,0.011059541499653021,,,,entropy,,,,7,log2,,200,,,,
363,ExtraTreesClassifier,0.7259729448491156,0.7389777978231912,0.7527942143326759,0.00860467664853087,,,,entropy,,,,7,auto,,500,,,,
