,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
18,SVC,0.9404996712689019,0.9563452880621695,0.970780437044745,0.011868683027592374,2,,,,0.001,,rbf,,,,,,,,
23,SVC,0.9395134779750165,0.9556337829526415,0.9710301768990636,0.011846394925739231,3,,,,0.001,,rbf,,,,,,,,
13,SVC,0.9414036817882973,0.9550505335979602,0.9684079084287202,0.011189928770553291,1,,,,0.001,,rbf,,,,,,,,
28,SVC,0.9386916502301118,0.9550140064761052,0.9714047866805411,0.011836142265551438,4,,,,0.001,,rbf,,,,,,,,
33,SVC,0.9384861932938856,0.9545091316094277,0.9717793964620187,0.011929365290287321,5,,,,0.001,,rbf,,,,,,,,
38,SVC,0.9370479947403025,0.9527307004743168,0.9705723204994797,0.01181066516241507,10,,,,0.001,,rbf,,,,,,,,
303,ExtraTreesClassifier,0.9349875930521092,0.9506045942993033,0.9664932362122789,0.012547795182589633,,,,gini,,,,8,log2,,500,,,,
297,ExtraTreesClassifier,0.9325889164598842,0.9499592968643638,0.9618261012491782,0.012475967816826632,,,,gini,,,,8,sqrt,,500,,,,
291,ExtraTreesClassifier,0.9372123602892835,0.9496905976748689,0.9599358974358974,0.009922420777849553,,,,gini,,,,8,auto,,500,,,,
381,ExtraTreesClassifier,0.9343258891645988,0.9489826976611175,0.9604162330905306,0.011616302260908576,,,,entropy,,,,8,auto,,500,,,,
279,ExtraTreesClassifier,0.9332506203473946,0.9483301869559775,0.9577107180020812,0.010779158177824972,,,,gini,,,,7,sqrt,,500,,,,
363,ExtraTreesClassifier,0.9336228287841191,0.9481031322839936,0.9600591715976332,0.011332305738702763,,,,entropy,,,,7,auto,,500,,,,
387,ExtraTreesClassifier,0.9316790736145575,0.9480922889467674,0.9603746097814776,0.012167264375974988,,,,entropy,,,,8,sqrt,,500,,,,
267,ExtraTreesClassifier,0.9348221670802316,0.948066264458524,0.9620811654526534,0.011585603629966705,,,,gini,,,,6,log2,,500,,,,
375,ExtraTreesClassifier,0.932199211045365,0.9479751659219762,0.9615816857440167,0.011964316582128529,,,,entropy,,,,7,log2,,500,,,,
273,ExtraTreesClassifier,0.9335401157981803,0.9478111044749162,0.9582922419460881,0.011502858533376402,,,,gini,,,,7,auto,,500,,,,
393,ExtraTreesClassifier,0.9342845326716295,0.9476885185618477,0.9609573361082206,0.011211262134350723,,,,entropy,,,,8,log2,,500,,,,
