,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
27,SVC,0.9546351084812623,0.96519639579361,0.977315296566077,0.0074944732483929735,4,,,,0.01,,rbf,,,,,,,,
22,SVC,0.9546351084812623,0.96519639579361,0.977315296566077,0.0074944732483929735,3,,,,0.01,,rbf,,,,,,,,
32,SVC,0.9546351084812623,0.96519639579361,0.977315296566077,0.0074944732483929735,5,,,,0.01,,rbf,,,,,,,,
37,SVC,0.9546351084812623,0.96519639579361,0.977315296566077,0.0074944732483929735,10,,,,0.01,,rbf,,,,,,,,
17,SVC,0.9546351084812623,0.9651881775161613,0.977273673257024,0.007485632457806399,2,,,,0.01,,rbf,,,,,,,,
12,SVC,0.9543474687705458,0.9640543004937466,0.9780645161290323,0.007992605851989408,1,,,,0.01,,rbf,,,,,,,,
23,SVC,0.9458004602235371,0.9623842493676802,0.9783558792924038,0.011054316407544213,3,,,,0.001,,rbf,,,,,,,,
18,SVC,0.9475262984878369,0.9620662712999621,0.9783142559833506,0.010470936605597713,2,,,,0.001,,rbf,,,,,,,,
28,SVC,0.9435815253122944,0.9617081688822664,0.9774401664932362,0.011510902150572069,4,,,,0.001,,rbf,,,,,,,,
33,SVC,0.9410749506903353,0.9610897771127899,0.9767741935483871,0.012140376783234725,5,,,,0.001,,rbf,,,,,,,,
13,SVC,0.9510601577909271,0.9605644696072536,0.976108220603538,0.008856989404801162,1,,,,0.001,,rbf,,,,,,,,
89,RandomForestClassifier,0.9545473465140479,0.9603447352739757,0.9670343392299688,0.0041773459897599344,,,,gini,,,,8,auto,,100,,,,
90,RandomForestClassifier,0.9534235171696149,0.9602529430156099,0.966618106139438,0.005042198667756446,,,,gini,,,,8,auto,,200,,,,
91,RandomForestClassifier,0.95105098855359,0.9600003277048824,0.9662434963579605,0.005448931618592679,,,,gini,,,,8,auto,,500,,,,
98,RandomForestClassifier,0.9536316337148802,0.9598201728010421,0.9649947970863684,0.004032762712303828,,,,gini,,,,8,log2,,200,,,,
97,RandomForestClassifier,0.9559625390218522,0.959689737364035,0.9646401985111662,0.0033534323140911792,,,,gini,,,,8,log2,,100,,,,
95,RandomForestClassifier,0.9516337148803329,0.9592736667576578,0.9649115504682623,0.004981090265650455,,,,gini,,,,8,sqrt,,500,,,,
94,RandomForestClassifier,0.9496774193548387,0.9589773774168237,0.965993756503642,0.006107716327257967,,,,gini,,,,8,sqrt,,200,,,,
99,RandomForestClassifier,0.9503017689906348,0.9589276480299054,0.965910509885536,0.005628973685787375,,,,gini,,,,8,log2,,500,,,,
88,RandomForestClassifier,0.953155818540434,0.9581030491605214,0.9670759625390218,0.0049675272134935685,,,,gini,,,,8,auto,,50,,,,
157,RandomForestClassifier,0.9503205128205129,0.9578905605942747,0.9640790842872009,0.005312792047056178,,,,entropy,,,,8,log2,,100,,,,
150,RandomForestClassifier,0.9518418314255984,0.9577968660740612,0.9643704474505723,0.004309723207709229,,,,entropy,,,,8,auto,,200,,,,
151,RandomForestClassifier,0.9508844953173777,0.9577205101523519,0.9646618106139438,0.004719246195040076,,,,entropy,,,,8,auto,,500,,,,
38,SVC,0.9347879684418146,0.9576809881909938,0.9730697190426638,0.013187102144519697,10,,,,0.001,,rbf,,,,,,,,
93,RandomForestClassifier,0.9461394380853277,0.9576296691959463,0.9631100082712986,0.006062318297354488,,,,gini,,,,8,sqrt,,100,,,,
155,RandomForestClassifier,0.9508428720083247,0.957362177862338,0.9628303850156087,0.003999027447416149,,,,entropy,,,,8,sqrt,,500,,,,
158,RandomForestClassifier,0.9517169614984391,0.9572222776378705,0.964703433922997,0.004666831741809105,,,,entropy,,,,8,log2,,200,,,,
149,RandomForestClassifier,0.9495109261186265,0.9571982334038684,0.9637877211238293,0.005000749107587967,,,,entropy,,,,8,auto,,100,,,,
87,RandomForestClassifier,0.9503433922996878,0.9571504640889495,0.9632882414151925,0.004629800430674782,,,,gini,,,,7,log2,,500,,,,
83,RandomForestClassifier,0.9505515088449532,0.9571484438122957,0.9624141519250781,0.00427563944717084,,,,gini,,,,7,sqrt,,500,,,,
79,RandomForestClassifier,0.9490114464099896,0.9571300317921626,0.9626137303556659,0.005045308817919643,,,,gini,,,,7,auto,,500,,,,
82,RandomForestClassifier,0.9485119667013527,0.9571154530297651,0.963564929693962,0.005656800405276117,,,,gini,,,,7,sqrt,,200,,,,
159,RandomForestClassifier,0.9506763787721123,0.956877191740195,0.9627887617065556,0.004199118505779058,,,,entropy,,,,8,log2,,500,,,,
