,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
21,SVC,0.8809633379352663,0.9225959366323513,0.9459068776628119,0.02211333782690502,3,0.5,rbf
31,SVC,0.8809633379352663,0.9225959366323513,0.9459068776628119,0.02211333782690502,5,0.5,rbf
26,SVC,0.8809633379352663,0.9225959366323513,0.9459068776628119,0.02211333782690502,4,0.5,rbf
16,SVC,0.8809633379352663,0.9225959366323513,0.9459068776628119,0.02211333782690502,2,0.5,rbf
36,SVC,0.8809633379352663,0.9225959366323513,0.9459068776628119,0.02211333782690502,10,0.5,rbf
11,SVC,0.8791992636907503,0.9213530342241951,0.9446135118685333,0.02241596677903411,1,0.5,rbf
37,SVC,0.8794293603313392,0.9099062871639065,0.9218438410799203,0.01578201740276166,10,0.01,rbf
32,SVC,0.8749041263997546,0.9088062037258926,0.9214603466789385,0.017223354045345425,5,0.01,rbf
27,SVC,0.8729866543948459,0.9076818935740005,0.9219205399601166,0.01764556567587504,4,0.01,rbf
22,SVC,0.8707623868691517,0.9071257265481097,0.9230710231630619,0.01852483080696658,3,0.01,rbf
35,SVC,0.873676944316613,0.9062050961045216,0.9297778454047475,0.018431903895882805,10,1,rbf
30,SVC,0.873676944316613,0.9062050961045216,0.9297778454047475,0.018431903895882805,5,1,rbf
15,SVC,0.873676944316613,0.9062050961045216,0.9297778454047475,0.018431903895882805,2,1,rbf
25,SVC,0.873676944316613,0.9062050961045216,0.9297778454047475,0.018431903895882805,4,1,rbf
20,SVC,0.873676944316613,0.9062050961045216,0.9297778454047475,0.018431903895882805,3,1,rbf
17,SVC,0.8687682159840466,0.9061717750948487,0.920800365185636,0.019175147708073357,2,0.01,rbf
10,SVC,0.8719895689522932,0.9056838476870988,0.9293213633597078,0.018911490088035807,1,1,rbf
12,SVC,0.8713759779107226,0.9031747751874526,0.9216372489348752,0.017988375809734457,1,0.01,rbf
38,SVC,0.8678478294216905,0.9007230124209773,0.9170724284844797,0.018074263648753006,10,0.001,rbf
33,SVC,0.8638594876514802,0.8960031471282456,0.9184418746195984,0.019202372782962038,5,0.001,rbf
28,SVC,0.8619420156465716,0.8936826973217128,0.9157790626902009,0.018588111271587517,4,0.001,rbf
23,SVC,0.8558061052308636,0.8882024009223658,0.9121272063298843,0.018695448693249968,3,0.001,rbf
0,SVC,0.8604080380426445,0.8808494878140678,0.8944623408498237,0.012137987317301506,1,,linear
18,SVC,0.8449148642429821,0.8802460514214742,0.908247108947048,0.020455960121200448,2,0.001,rbf
13,SVC,0.8366313851817764,0.8765890947623503,0.907410225197809,0.022824590835284802,1,0.001,rbf
29,SVC,0.8363245896609909,0.8764663317835681,0.9072580645161291,0.022888817218656054,4,0.0001,rbf
14,SVC,0.8364779874213837,0.8764206270268945,0.9073341448569691,0.02283447337756813,1,0.0001,rbf
34,SVC,0.8364779874213837,0.876420559871193,0.9071059038344491,0.022783895209215855,5,0.0001,rbf
24,SVC,0.8362478907807945,0.8764202900702166,0.9071819841752892,0.02289415711985419,3,0.0001,rbf
39,SVC,0.8363245896609909,0.8763900040269859,0.9070298234936093,0.022827360727131506,10,0.0001,rbf
19,SVC,0.8362478907807946,0.8763745181578415,0.9070298234936093,0.022838519469647236,2,0.0001,rbf
1,SVC,0.8495167970547629,0.8676829963413104,0.8847982819450836,0.01403601845625076,2,,linear
2,SVC,0.8467741935483871,0.8630532587127455,0.8864856573094033,0.016798347922108367,3,,linear
3,SVC,0.8424376141205113,0.8598824928384925,0.8905506979598098,0.01989340397605876,4,,linear
4,SVC,0.8359707851491175,0.8565124135547068,0.8898604080380427,0.020985080168087204,5,,linear
5,SVC,0.8313298843578819,0.854646023475277,0.8900138057984353,0.022019535938408503,6,,linear
6,SVC,0.828286670724285,0.8522548987727943,0.8890934192360791,0.02251300197899677,7,,linear
7,SVC,0.8237979306147292,0.8503752589912649,0.8880963337935266,0.023021288606310083,8,,linear
8,SVC,0.821972002434571,0.8486400122152687,0.8845681853044945,0.02253348524673469,9,,linear
9,SVC,0.8222002434570908,0.8479305051593251,0.882037122258015,0.021458931852171483,10,,linear
