,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
36,SVC,0.8848764139086719,0.9072075773688676,0.9309440559440559,0.017580324259836376,10,0.5,rbf
31,SVC,0.8848764139086719,0.9072075773688676,0.9309440559440559,0.017580324259836376,5,0.5,rbf
26,SVC,0.8848764139086719,0.9072075773688676,0.9309440559440559,0.017580324259836376,4,0.5,rbf
21,SVC,0.8848764139086719,0.9072075773688676,0.9309440559440559,0.017580324259836376,3,0.5,rbf
16,SVC,0.8848345203183913,0.9070834541802283,0.9309024309024309,0.017549192390149414,2,0.5,rbf
11,SVC,0.888772517804776,0.9068326297358557,0.9302364302364302,0.016248598175145554,1,0.5,rbf
20,SVC,0.8799329702555508,0.8978617081842888,0.916083916083916,0.014544769068616575,3,1,rbf
35,SVC,0.8799329702555508,0.8978617081842888,0.916083916083916,0.014544769068616575,10,1,rbf
30,SVC,0.8799329702555508,0.8978617081842888,0.916083916083916,0.014544769068616575,5,1,rbf
25,SVC,0.8799329702555508,0.8978617081842888,0.916083916083916,0.014544769068616575,4,1,rbf
15,SVC,0.8799329702555508,0.8978617081842888,0.916083916083916,0.014544769068616575,2,1,rbf
10,SVC,0.880854629241726,0.8969677097096452,0.9151265401265402,0.01418612957507353,1,1,rbf
37,SVC,0.838626964433416,0.8748139494913689,0.9127955377955379,0.024828218567902228,10,0.01,rbf
32,SVC,0.8357733664185277,0.8702786997948287,0.9048035298035297,0.02246725378595503,5,0.01,rbf
27,SVC,0.8335814722911498,0.8686768070639038,0.9026806526806527,0.02217591700459555,4,0.01,rbf
22,SVC,0.8343258891645988,0.8668730731633957,0.8995587745587746,0.020698810759163834,3,0.01,rbf
0,SVC,0.8318031430934657,0.8654939146874631,0.9063020313020312,0.02599920919168256,1,,linear
2,SVC,0.8318444995864351,0.8653935311999827,0.9085914085914085,0.026536716305482863,3,,linear
6,SVC,0.832051282051282,0.865284178187404,0.908924408924409,0.026633466351600275,7,,linear
1,SVC,0.8313895781637717,0.8652110792433373,0.9092990342990344,0.026847716578437437,2,,linear
8,SVC,0.8319272125723739,0.8651417936901808,0.9090492840492841,0.02677396950424571,9,,linear
9,SVC,0.8319272125723739,0.8651255196416485,0.9089244089244088,0.026701480613787083,10,,linear
7,SVC,0.8317617866004962,0.8651174631819792,0.9090909090909091,0.026793087450902968,8,,linear
5,SVC,0.8313068651778328,0.8650768049155145,0.9088827838827839,0.02681541223707474,6,,linear
4,SVC,0.831306865177833,0.8650265326071779,0.909049284049284,0.026898523580131752,5,,linear
3,SVC,0.8318858560794045,0.8649840482098548,0.9088411588411589,0.026753757518093207,4,,linear
17,SVC,0.8358560794044665,0.8632188241865661,0.8939393939393939,0.018621084866317122,2,0.01,rbf
38,SVC,0.8289909015715468,0.8520558473784279,0.8807442557442557,0.01703889581389431,10,0.001,rbf
12,SVC,0.828701406120761,0.8518368728046148,0.8810356310356312,0.01728141535439636,1,0.01,rbf
33,SVC,0.8207609594706368,0.8431136068232842,0.872835497835498,0.01706513175269084,5,0.001,rbf
28,SVC,0.8168320926385442,0.8398982737692415,0.8679653679653679,0.016499869738164745,4,0.001,rbf
23,SVC,0.8115798180314309,0.8352283737767608,0.8624292374292375,0.016475004873857158,3,0.001,rbf
18,SVC,0.8077750206782465,0.8282308014566079,0.8542291042291041,0.016017892562226795,2,0.001,rbf
14,SVC,0.8078577336641852,0.8271871139613074,0.8527306027306027,0.016170801272971276,1,0.0001,rbf
19,SVC,0.8074855252274608,0.8270295296101746,0.8523976023976024,0.01615197687268847,2,0.0001,rbf
24,SVC,0.8074855252274608,0.8269960147379501,0.8523976023976024,0.016194736192710963,3,0.0001,rbf
29,SVC,0.8074855252274608,0.8269876360198941,0.8523976023976024,0.016191610301205365,4,0.0001,rbf
34,SVC,0.8074855252274608,0.8269876360198941,0.8523976023976024,0.016191610301205365,5,0.0001,rbf
39,SVC,0.8074855252274608,0.8269040636782572,0.8523976023976024,0.01616364072182574,10,0.0001,rbf
13,SVC,0.8074441687344913,0.8268957923796634,0.8523976023976024,0.01617358303225825,1,0.001,rbf
