,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel
21,SVC,0.9331213307240703,0.942396594645686,0.957628765792031,0.009855391578551748,3,0.5,rbf
36,SVC,0.9331213307240703,0.942396594645686,0.957628765792031,0.009855391578551748,10,0.5,rbf
26,SVC,0.9331213307240703,0.942396594645686,0.957628765792031,0.009855391578551748,4,0.5,rbf
16,SVC,0.9331213307240703,0.942396594645686,0.957628765792031,0.009855391578551748,2,0.5,rbf
31,SVC,0.9331213307240703,0.942396594645686,0.957628765792031,0.009855391578551748,5,0.5,rbf
20,SVC,0.9330724070450097,0.9422042946337047,0.9545499021526419,0.008029307599592242,3,1,rbf
15,SVC,0.9330724070450097,0.9422042946337047,0.9545499021526419,0.008029307599592242,2,1,rbf
25,SVC,0.9330724070450097,0.9422042946337047,0.9545499021526419,0.008029307599592242,4,1,rbf
35,SVC,0.9330724070450097,0.9422042946337047,0.9545499021526419,0.008029307599592242,10,1,rbf
30,SVC,0.9330724070450097,0.9422042946337047,0.9545499021526419,0.008029307599592242,5,1,rbf
10,SVC,0.9330724070450097,0.9421847917249092,0.954549902152642,0.008024801201731,1,1,rbf
11,SVC,0.932729941291585,0.9421230879827469,0.9572886297376093,0.009904486086183465,1,0.5,rbf
22,SVC,0.9253913894324853,0.9356716189411186,0.9454324586977648,0.006570391102267181,3,0.01,rbf
27,SVC,0.9255870841487279,0.935086931054222,0.9436831875607385,0.006468300592229731,4,0.01,rbf
17,SVC,0.9260763209393347,0.9350256932518605,0.9455296404275996,0.0064317513378934635,2,0.01,rbf
32,SVC,0.9252446183953033,0.9335637072833046,0.9413508260447037,0.00628394507721408,5,0.01,rbf
12,SVC,0.923679060665362,0.9313273959290174,0.9452866861030127,0.007850048061244811,1,0.01,rbf
37,SVC,0.923385518590998,0.9300587749777016,0.9376223091976517,0.005766305091110776,10,0.01,rbf
38,SVC,0.9228473581213308,0.9296889519017,0.9413508260447037,0.006859696524536569,10,0.001,rbf
33,SVC,0.9042563600782779,0.9225206011954684,0.9385325558794946,0.011464621132005498,5,0.001,rbf
28,SVC,0.8990704500978474,0.919772821065804,0.9372691933916424,0.013000910779252358,4,0.001,rbf
23,SVC,0.8910958904109589,0.9144870668423927,0.931584062196307,0.014006805277251271,3,0.001,rbf
18,SVC,0.8772994129158511,0.9041527217540637,0.9256559766763849,0.01620006947077277,2,0.001,rbf
0,SVC,0.8764187866927594,0.8864958664483404,0.903375733855186,0.009078355774871634,1,,linear
39,SVC,0.8568982387475538,0.8850802747713565,0.9128279883381925,0.018346176931572544,10,0.0001,rbf
13,SVC,0.856262230919765,0.8845722672630696,0.9122448979591836,0.018332458528160303,1,0.001,rbf
14,SVC,0.8525440313111545,0.8817462758097367,0.910932944606414,0.018974551439834276,1,0.0001,rbf
29,SVC,0.8524951076320939,0.881736424511096,0.9109815354713314,0.019001242322859015,4,0.0001,rbf
34,SVC,0.8525440313111545,0.881736424511096,0.9109815354713314,0.018982892691374542,5,0.0001,rbf
24,SVC,0.8524461839530333,0.8817168550394717,0.9109815354713314,0.019013003608316596,3,0.0001,rbf
19,SVC,0.8522504892367905,0.8816875008320354,0.9109815354713314,0.019076634124554057,2,0.0001,rbf
1,SVC,0.8627201565557729,0.8730473794214358,0.8789138943248532,0.0058535543508675715,2,,linear
2,SVC,0.8570450097847359,0.8662746116058948,0.8715264187866927,0.004984479693921909,3,,linear
3,SVC,0.8543542074363992,0.8603353435307586,0.8662426614481409,0.003946358955704123,4,,linear
4,SVC,0.8525929549902153,0.856706804052345,0.8633561643835617,0.004597857131173299,5,,linear
5,SVC,0.8490704500978473,0.855287751108271,0.8613702623906705,0.004946440796531206,6,,linear
6,SVC,0.8455479452054795,0.854006083842539,0.8612730806608359,0.005252040896333318,7,,linear
9,SVC,0.8455479452054795,0.8539571601634783,0.8612730806608359,0.005221822908793906,10,,linear
8,SVC,0.8455479452054795,0.8539571601634783,0.8612730806608359,0.005221822908793906,9,,linear
7,SVC,0.8455479452054795,0.8539571601634783,0.8612730806608359,0.005221822908793906,8,,linear
